INTERSECTIONS
COMPLEX_#_CA_#_[59,50]_#_[60,50]_#_[60,49]_#_[59,49]
COMPLEX_#_CB_#_[0,47]_#_[1,47]_#_[1,46]_#_[0,46]
COMPLEX_#_CC_#_[5,47]_#_[6,47]_#_[6,46]_#_[5,46]
COMPLEX_#_CD_#_[35,47]_#_[36,47]_#_[36,46]_#_[35,46]
COMPLEX_#_CF_#_[50,46]_#_[51,46]_#_[51,45]_#_[50,45]
COMPLEX_#_CG_#_[59,46]_#_[60,46]_#_[60,45]_#_[59,45]
COMPLEX_#_CI_#_[0,42]_#_[1,42]_#_[1,41]_#_[0,41]
COMPLEX_#_CJ_#_[5,42]_#_[6,42]_#_[6,41]_#_[5,41]
COMPLEX_#_CK_#_[12,42]_#_[13,42]_#_[13,41]_#_[12,41]
COMPLEX_#_CE_#_[24,42]_#_[25,42]_#_[25,41]_#_[24,41]
COMPLEX_#_CL_#_[31,42]_#_[32,42]_#_[32,41]_#_[31,41]
COMPLEX_#_CM_#_[36,42]_#_[37,42]_#_[37,41]_#_[36,41]
COMPLEX_#_CN_#_[42,42]_#_[43,42]_#_[43,41]_#_[42,41]
COMPLEX_#_CO_#_[50,42]_#_[51,42]_#_[51,41]_#_[50,41]
COMPLEX_#_CP_#_[59,42]_#_[60,42]_#_[60,41]_#_[59,41]
COMPLEX_#_CQ_#_[24,36]_#_[25,36]_#_[25,35]_#_[24,35]
COMPLEX_#_CR_#_[35,36]_#_[36,36]_#_[36,35]_#_[35,35]
COMPLEX_#_CS_#_[41,36]_#_[42,36]_#_[42,35]_#_[41,35]
COMPLEX_#_CT_#_[50,36]_#_[51,36]_#_[51,35]_#_[50,35]
COMPLEX_#_CU_#_[59,36]_#_[60,36]_#_[60,35]_#_[59,35]
COMPLEX_#_CV_#_[0,32]_#_[1,32]_#_[1,31]_#_[0,31]
COMPLEX_#_CW_#_[5,32]_#_[6,32]_#_[6,31]_#_[5,31]
COMPLEX_#_CX_#_[15,31]_#_[16,31]_#_[16,30]_#_[15,30]
COMPLEX_#_CY_#_[41,31]_#_[42,31]_#_[42,30]_#_[41,30]
COMPLEX_#_CZ_#_[50,31]_#_[51,31]_#_[51,30]_#_[50,30]
COMPLEX_#_CAA_#_[59,31]_#_[60,31]_#_[60,30]_#_[59,30]
COMPLEX_#_CAB_#_[0,25]_#_[1,25]_#_[1,24]_#_[0,24]
COMPLEX_#_CAC_#_[5,25]_#_[6,25]_#_[6,24]_#_[5,24]
COMPLEX_#_CAD_#_[36,24]_#_[37,24]_#_[37,23]_#_[36,23]
COMPLEX_#_CAE_#_[41,24]_#_[42,24]_#_[42,23]_#_[41,23]
COMPLEX_#_CAF_#_[50,24]_#_[51,24]_#_[51,23]_#_[50,23]
COMPLEX_#_CAG_#_[59,24]_#_[60,24]_#_[60,23]_#_[59,23]
COMPLEX_#_CAH_#_[15,22]_#_[16,22]_#_[16,21]_#_[15,21]
COMPLEX_#_CAI_#_[45,18]_#_[46,18]_#_[46,17]_#_[45,17]
COMPLEX_#_CAJ_#_[50,18]_#_[51,18]_#_[51,17]_#_[50,17]
COMPLEX_#_CAK_#_[59,18]_#_[60,18]_#_[60,17]_#_[59,17]
COMPLEX_#_CAL_#_[5,14]_#_[6,14]_#_[6,13]_#_[5,13]
COMPLEX_#_CAM_#_[24,14]_#_[25,14]_#_[25,13]_#_[24,13]
COMPLEX_#_CAN_#_[35,14]_#_[36,14]_#_[36,13]_#_[35,13]
COMPLEX_#_CAO_#_[41,14]_#_[42,14]_#_[42,13]_#_[41,13]
COMPLEX_#_CAP_#_[45,14]_#_[46,14]_#_[46,13]_#_[45,13]
COMPLEX_#_CAQ_#_[45,8]_#_[46,8]_#_[46,7]_#_[45,7]
COMPLEX_#_CAR_#_[49,8]_#_[50,8]_#_[50,7]_#_[49,7]
COMPLEX_#_CAS_#_[0,3]_#_[1,3]_#_[1,2]_#_[0,2]
COMPLEX_#_CAT_#_[5,3]_#_[6,3]_#_[6,2]_#_[5,2]
COMPLEX_#_CAU_#_[20,3]_#_[21,3]_#_[21,2]_#_[20,2]
COMPLEX_#_CAV_#_[35,3]_#_[36,3]_#_[36,2]_#_[35,2]
COMPLEX_#_CAW_#_[41,3]_#_[42,3]_#_[42,2]_#_[41,2]
COMPLEX_#_CAX_#_[49,3]_#_[50,3]_#_[50,2]_#_[49,2]
COMPLEX_#_CAY_#_[59,3]_#_[60,3]_#_[60,2]_#_[59,2]
COMPLEX_#_CAZ_#_[0,38]_#_[1,38]_#_[1,37]_#_[0,37]
COMPLEX_#_CBA_#_[5,38]_#_[6,38]_#_[6,37]_#_[5,37]
SIMPLE_#_A_#_[54,49]
SIMPLE_#_B_#_[12,46]
SIMPLE_#_C_#_[24,46]
SIMPLE_#_D_#_[31,46]
SIMPLE_#_E_#_[42,46]
SIMPLE_#_F_#_[54,46]
SIMPLE_#_G_#_[12,38]
SIMPLE_#_H_#_[15,38]
SIMPLE_#_I_#_[12,35]
SIMPLE_#_J_#_[15,35]
SIMPLE_#_L_#_[12,31]
SIMPLE_#_M_#_[24,31]
SIMPLE_#_N_#_[36,31]
SIMPLE_#_O_#_[9,24]
SIMPLE_#_P_#_[20,24]
SIMPLE_#_Q_#_[9,21]
SIMPLE_#_R_#_[20,21]
SIMPLE_#_S_#_[21,10]
SIMPLE_#_T_#_[24,10]
SIMPLE_#_U_#_[24,24]
ROADS
RH1_#_[58,49]_#_[55,49]_#_A_#_CA_#_
RH2_#_[4,47]_#_[2,47]_#_CB_#_CC_#_
RH3_#_[2,46]_#_[4,46]_#_CC_#_CB_#_
RH4_#_[34,47]_#_[7,47]_#_CD_#_CC_#_
RH5_#_[7,46]_#_[11,46]_#_CC_#_B_#_
RH6_#_[13,46]_#_[23,46]_#_B_#_C_#_
RH7_#_[25,46]_#_[30,46]_#_C_#_D_#_
RH8_#_[32,46]_#_[34,46]_#_D_#_CD_#_
RH9_#_[41,46]_#_[37,46]_#_E_#_CD_#_
RH10_#_[49,46]_#_[43,46]_#_CF_#_E_#_
RH11_#_[53,46]_#_[52,46]_#_F_#_CF_#_
RH12_#_[55,46]_#_[58,46]_#_F_#_CG_#_
RH13_#_[58,42]_#_[52,42]_#_CP_#_CO_#_
RH14_#_[52,41]_#_[58,41]_#_CO_#_CP_#_
RH15_#_[49,42]_#_[44,42]_#_CO_#_CN_#_
RH16_#_[44,41]_#_[49,41]_#_CN_#_CO_#_
RH17_#_[41,42]_#_[38,42]_#_CN_#_CM_#_
RH18_#_[38,41]_#_[41,41]_#_CM_#_CN_#_
RH19_#_[35,42]_#_[33,42]_#_CM_#_CL_#_
RH20_#_[33,41]_#_[35,41]_#_CL_#_CM_#_
RH21_#_[30,42]_#_[26,42]_#_CL_#_CE_#_
RH22_#_[26,41]_#_[30,41]_#_CE_#_CL_#_
RH23_#_[23,42]_#_[14,42]_#_CK_#_CE_#_
RH24_#_[14,41]_#_[23,41]_#_CE_#_CK_#_
RH25_#_[11,42]_#_[7,42]_#_CK_#_CJ_#_
RH26_#_[7,41]_#_[11,41]_#_CJ_#_CK_#_
RH27_#_[4,42]_#_[2,42]_#_CJ_#_CI_#_
RH28_#_[2,41]_#_[4,41]_#_CI_#_CJ_#_
RH29_#_[4,38]_#_[2,38]_#_CBA_#_CAZ_#_
RH30_#_[2,37]_#_[4,37]_#_CAZ_#_CBA_#_
RH31_#_[7,38]_#_[11,38]_#_CBA_#_G_#_
RH32_#_[13,38]_#_[14,38]_#_G_#_H_#_
RH33_#_[14,35]_#_[13,35]_#_I_#_J_#_
RH34_#_[23,35]_#_[16,35]_#_J_#_CQ_#_
RH35_#_[58,36]_#_[52,36]_#_CU_#_CT_#_
RH36_#_[52,35]_#_[58,35]_#_CT_#_CU_#_
RH37_#_[4,32]_#_[2,32]_#_CV_#_CW_#_
RH38_#_[2,31]_#_[4,31]_#_CW_#_CV_#_
RH39_#_[11,31]_#_[7,31]_#_L_#_CW_#_
RH40_#_[13,31]_#_[14,31]_#_L_#_CX_#_
RH41_#_[17,31]_#_[23,31]_#_CX_#_M_#_
RH42_#_[25,31]_#_[35,31]_#_M_#_N_#_
RH43_#_[49,31]_#_[43,31]_#_CZ_#_CY_#_
RH44_#_[43,30]_#_[49,30]_#_CY_#_CZ_#_
RH45_#_[58,31]_#_[52,31]_#_CAA_#_CZ_#_
RH46_#_[52,30]_#_[58,30]_#_CZ_#_CAA_#_
RH47_#_[4,25]_#_[2,25]_#_CAC_#_CAB_#_
RH48_#_[2,24]_#_[4,24]_#_CAB_#_CAC_#_
RH49_#_[7,24]_#_[8,24]_#_CAC_#_O_#_
RH50_#_[10,21]_#_[14,21]_#_Q_#_CAH_#_
RH51_#_[17,21]_#_[19,21]_#_CAH_#_R_#_
RH52_#_[21,24]_#_[23,24]_#_P_#_U_#_
RH53_#_[25,24]_#_[35,24]_#_U_#_CAD_#_
RH54_#_[40,24]_#_[38,24]_#_CAE_#_CAD_#_
RH55_#_[38,23]_#_[40,23]_#_CAD_#_CAE_#_
RH56_#_[49,24]_#_[43,24]_#_CAF_#_CAE_#_
RH57_#_[43,23]_#_[49,23]_#_CAE_#_CAF_#_
RH58_#_[58,24]_#_[52,24]_#_CAG_#_CAF_#_
RH59_#_[52,23]_#_[58,23]_#_CAF_#_CAG_#_
RH60_#_[23,14]_#_[7,14]_#_CAM_#_CAL_#_
RH61_#_[7,13]_#_[23,13]_#_CAL_#_CAM_#_
RH62_#_[34,14]_#_[26,14]_#_CAN_#_CAM_#_
RH63_#_[26,13]_#_[34,13]_#_CAM_#_CAN_#_
RH64_#_[40,14]_#_[37,14]_#_CAO_#_CAN_#_
RH65_#_[37,13]_#_[40,13]_#_CAN_#_CAO_#_
RH66_#_[44,14]_#_[43,14]_#_CAP_#_CAO_#_
RH67_#_[43,13]_#_[44,13]_#_CAO_#_CAP_#_
RH68_#_[48,8]_#_[47,8]_#_CAR_#_CAQ_#_
RH69_#_[47,7]_#_[48,7]_#_CAQ_#_CAR_#_
RH70_#_[4,3]_#_[2,3]_#_CAT_#_CAS_#_
RH71_#_[2,2]_#_[4,2]_#_CAS_#_CAT_#_
RH72_#_[19,3]_#_[7,3]_#_CAU_#_CAT_#_
RH73_#_[7,2]_#_[19,2]_#_CAT_#_CAU_#_
RH74_#_[34,3]_#_[22,3]_#_CAV_#_CAU_#_
RH75_#_[22,2]_#_[34,2]_#_CAU_#_CAV_#_
RH76_#_[40,3]_#_[37,3]_#_CAW_#_CAV_#_
RH77_#_[37,2]_#_[40,2]_#_CAV_#_CAW_#_
RH78_#_[48,3]_#_[43,3]_#_CAX_#_CAW_#_
RH79_#_[43,2]_#_[48,2]_#_CAW_#_CAX_#_
RH80_#_[58,3]_#_[51,3]_#_CAY_#_CAX_#_
RH81_#_[51,2]_#_[58,2]_#_CAX_#_CAY_#_
RV1_#_[0,45]_#_[0,43]_#_CB_#_CI_#_
